Name,SecondaryName,Category,Difficulty,FakieDifficulty,SwitchDifficulty,NollieDifficulty,SpecialTrick
Backside Boardslide,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Boardslide,INVALID,"Ledge, Rail",1,1,1,1,0
Backside 5050,INVALID,"Ledge, Rail",1,1,1,1,0
Backside 5.0,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside 5.0,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Feeble,INVALID,Rail,1,1,1,1,0
Frontside Feeble,INVALID,Rail,1,1,1,1,0
Backside Smith,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Smith,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Bluntslide,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Bluntslide,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Bluntslide to fakie,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Bluntslide to fakie,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Krooked Grind,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Krooked Grind,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Overcrook,INVALID,Rail,1,1,1,1,0
Backside Nosegrind,INVALID,Ledge,1,1,1,1,0
Frontside Nosegrind,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Noseslide,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Noseslide,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Noseslide to fakie,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Noseslide to fakie,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Tailslide,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Tailslide,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Tailslide to fakie,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Tailslide to fakie,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Lipslide,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Lipslide,INVALID,"Ledge, Rail",1,1,1,1,0
Backside Lipslide to fakie,INVALID,"Ledge, Rail",1,1,1,1,0
Frontside Lipslide to fakie,INVALID,"Ledge, Rail",1,1,1,1,0
Rock to fakie,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Rock and Roll,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside Rock and Roll,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside Axle Stall,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside Axle Stall,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Tail Stall,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Noses Stall,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside 5.0,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside 5.0,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside Smith,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside Smith,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside Disaster,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside Disaster,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Blunt to fakie,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Blunt Rock to fakie,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside Blunt,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside Blunt,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside Noseblunt,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside Noseblunt,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside 5050,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside 5050,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside Nosegrind,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside Nosegrind,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Frontside Tailslide,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside Tailslide,INVALID,"Mini Ramp, Vert",1,1,1,1,0
Backside Pivot to fakie,Backside 5.0 to fakie,"Mini Ramp, Vert",3,3,4,INVALID,0
Frontside Pivot to fakie,Frontside 5.0 to fakie,"Mini Ramp, Vert",4,4,5,INVALID,0
Backside Pop Shuvit,INVALID,Flat Ground,1,1,2,1,0
Frontside Pop Shuvit,INVALID,Flat Ground,1,1,2,1,0
Backside Bigspin,INVALID,Flat Ground,4,3,6,4,0
Frontside Bigspin,INVALID,Flat Ground,4,3,5,4,0
Backside 180,INVALID,Flat Ground,1,INVALID,4,3,0
Frontside 180,INVALID,Flat Ground,1,INVALID,2,3,0
Backside Half Cab,Fakie Backside 180,Flat Ground,1,INVALID,INVALID,INVALID,0
Frontside Half Cab,Fakie Frontside 180,Flat Ground,1,INVALID,INVALID,INVALID,0
Backside 360,INVALID,Flat Ground,5,INVALID,7,4,0
Frontside 360,INVALID,Flat Ground,5,INVALID,6,5,0
Backside Caballerial,Fakie Backside 360,Flat Ground,3,INVALID,INVALID,INVALID,0
Frontside Caballerial,Fakie Frontside 360,Flat Ground,4,INVALID,INVALID,INVALID,0
Backside 360 Pop Shuvit,INVALID,Flat Ground,4,3,6,4,0
Frontside 360 Pop Shuvit,INVALID,Flat Ground,5,4,6,4,0
Backside 180 Kickflip,INVALID,Flat Ground,3,INVALID,5,5,0
Frontside 180 Kickflip,INVALID,Flat Ground,3,INVALID,5,5,0
Backside 180 Heelflip,INVALID,Flat Ground,3,INVALID,5,5,0
Frontside 180 Heelflip,INVALID,Flat Ground,4,INVALID,5,5,0
Backside Bigspin Kickflip,INVALID,Flat Ground,5,4,8,6,0
Frontside Bigspin Heelflip,INVALID,Flat Ground,8,7,9,7,0
Kickflip,INVALID,Flat Ground,2,2,4,4,0
Heelflip,INVALID,Flat Ground,2,2,4,4,0
Varial Kickflip,INVALID,Flat Ground,2,4,6,5,0
Varial Heelflip,INVALID,Flat Ground,2,5,6,5,0
Hardflip,INVALID,Flat Ground,4,5,6,6,0
Tre Flip,360 Kickflip,Flat Ground,4,4,6,6,0
Double Kickflip,INVALID,Flat Ground,4,4,6,6,0
Double Heelflip,INVALID,Flat Ground,4,4,6,6,0
Backside 180 Double Kickflip,INVALID,Flat Ground,6,INVALID,8,8,0
Frontside 180 Double Kickflip,INVALID,Flat Ground,7,INVALID,8,8,0
Backside 180 Double Heelflip,INVALID,Flat Ground,7,INVALID,8,8,0
Frontside 180 Double Heelflip,INVALID,Flat Ground,7,INVALID,8,8,0
Backside Half Cab Double Kickflip,INVALID,Flat Ground,7,INVALID,INVALID,INVALID,0
Frontside Half Cab Double Kickflip,INVALID,Flat Ground,7,INVALID,INVALID,INVALID,0
